ticker,one_day_50,one_day_200,five_min_50,five_min_200,one_min_50,one_min_200,last_price
JNK, 91.47 , 91.32 ,91.42,90.98,91.49,91.45,-1
GDX, 33.26 , 28.88 ,31.38,31.54,31.35,31.33,-1
VCR, 249.39 , 244.80 ,263.02,257.16,263.17,260.59,-1
VDC, 195.39 , 190.14 ,192.3,190.59,192.58,192.07,-1
VIG, 154.71 , 151.47 ,157.14,155.03,157.37,157.21,-1
VDE, 112.87 , 117.13 ,110.79,108.31,110.97,110.89,-1
VFH, 77.53 , 82.00 ,79.34,77.79,79.39,79.33,-1
VWO, 40.07 , 39.67 ,40.38,39.76,40.36,40.38,-1
VHT, 242.27 , 240.93 ,240.72,237.87,241.15,240.45,-1
VIS, 187.36 , 183.50 ,191.94,187.37,192.44,189.23,-1
VGT, 386.78 , 351.37 ,423.91,420.95,424.13,423.91,-1
VAW, 173.54 , 171.99 ,172.84,168.31,173.01,170.95,-1
VNQ, 81.31 , 84.93 ,81.98,80.68,82.0,82.01,-1
VOO, 377.76 , 364.56 ,393.22,388.35,393.51,393.36,-1
VOX, 97.76 , 91.05 ,103.11,102.33,103.1,102.94,-1
BND, 73.52 , 72.84 ,72.72,72.92,72.7,72.71,-1
BNDX, 48.77 , 48.50 ,48.81,48.88,48.79,48.81,-1
VXUS, 55.58 , 52.73 ,55.93,55.17,55.96,55.94,-1
VTI, 204.29 , 198.54 ,212.68,209.78,212.86,212.76,-1
VPU, 147.18 , 150.22 ,142.12,141.04,142.08,142.11,-1
XTN, 71.80 , 72.12 ,73.51,72.95,73.77,72.83,-1
