ticker,one_day_50,one_day_200,five_min_50,five_min_200,one_min_50,one_min_200,last_price
JNK,91.5,91.17,90.88,91.13,90.88,90.88,90.9
GDX,32.64,29.3,29.8,29.88,29.8,29.8,29.79
VCR,257.23,245.2,276.97,277.39,276.74,277.1,275.99
VDC,195.58,190.15,195.09,195.08,194.79,195.38,194.58
VIG,156.49,151.93,159.22,159.73,159.03,159.19,159
VDE,111.88,116.94,108.34,109.38,108.3,108.33,108.41
VFH,78.47,81.76,79.33,79.73,79.23,79.31,79.19
VWO,40.28,39.64,40.15,40.52,40.13,40.15,40.15
VHT,243.22,241.22,245.12,245.08,244.96,245.2,244.53
VIS,190.67,184.64,198.5,199.83,198.46,199.84,198.11
VGT,401.59,356.01,430.07,431.15,429.44,430.09,428.8
VAW,174.05,172.38,175.6,176.63,175.29,176.6,175.5162
VNQ,81.74,83.99,80.35,81.19,80.25,80.35,80.13
VOO,385.5,366.22,400.34,401.09,399.77,400.32,399.61
VOX,100.21,91.62,104.42,104.26,104.44,104.35,104.5
BND,73.17,72.68,72.78,72.75,72.81,72.79,72.81
BNDX,48.7,48.43,48.82,48.71,48.83,48.82,48.83
VXUS,56.01,53.04,55.07,55.64,55.02,55.07,55.05
VTI,208.43,199.31,215.37,216.44,215.02,215.35,214.94
VPU,146.38,148.76,142.8,144.31,142.31,143.33,142.19
XTN,73.91,72.31,78.86,78.97,78.58,78.93,78.45
