ticker,one_day_50,one_day_200,five_min_50,five_min_200,one_min_50,one_min_200,last_price
JNK,91.54,91.19,91.75,91.64,91.65,91.74,91.67
GDX,33.17,29.07,30.91,31.07,30.87,30.91,30.89
VCR,253.0,244.56,276.27,272.92,276.32,275.46,276.76
VDC,195.58,189.96,192.68,191.97,192.64,192.48,192.71
VIG,155.7,151.53,159.48,158.48,159.39,159.48,159.48
VDE,112.99,117.06,112.86,112.38,112.43,112.81,112.09
VFH,78.04,81.8,80.9,80.43,80.82,80.9,80.8
VWO,40.17,39.63,41.32,41.08,41.29,41.31,41.3
VHT,243.18,240.84,243.56,242.08,243.48,243.37,243.69
VIS,188.74,183.82,199.37,197.05,199.46,198.04,199.44
VGT,393.71,353.0,433.38,428.71,433.53,433.4,434.09
VAW,173.9,172.0,178.46,175.72,178.51,176.1,178.69
VNQ,81.73,84.38,83.1,82.69,83.19,83.15,83.23
VOO,381.72,364.9,401.09,397.94,400.99,401.1,401.29
VOX,99.09,91.22,105.37,104.43,105.26,105.22,105.32
BND,73.37,72.74,72.47,72.54,72.36,72.45,72.38
BNDX,48.73,48.45,48.61,48.68,48.56,48.61,48.57
VXUS,55.87,52.84,56.99,56.59,56.97,56.99,57
VTI,206.42,198.66,217.37,215.58,217.33,217.38,217.44
VPU,147.15,149.41,144.26,144.34,144.19,144.21,144.2
XTN,72.75,72.1,77.84,77.2,78.04,77.18,78.804
