ticker,one_day_50,one_day_200,five_min_50,five_min_200,one_min_50,one_min_200,last_price
JNK,91.54,91.18,91.93,91.93,91.9,91.93,91.91
GDX,33.0,29.17,31.38,31.08,31.42,31.41,31.39
VCR,254.69,244.79,278.2,276.99,278.01,277.23,277.3
VDC,195.61,190.02,195.91,195.03,195.69,195.94,195.57
VIG,156.08,151.69,161.66,160.95,161.3,161.63,161.25
VDE,112.58,116.99,112.58,112.16,112.21,112.62,112.24
VFH,78.28,81.78,81.39,81.12,81.23,81.36,81.2
VWO,40.26,39.64,41.97,41.91,41.95,41.98,41.94
VHT,243.28,240.97,244.86,243.69,244.66,245.06,244.53
VIS,189.55,184.14,201.4,200.34,201.26,201.11,201.18
VGT,397.21,354.25,441.74,440.59,440.29,441.7,439.56
VAW,174.04,172.13,179.02,178.52,178.92,178.68,179.37
VNQ,81.83,84.21,84.02,83.75,83.91,84.0,83.92
VOO,383.44,365.42,406.7,404.96,405.67,406.61,405.25
VOX,99.64,91.39,106.51,106.08,106.32,106.59,106.2
BND,73.28,72.7,72.7,72.69,72.73,72.71,72.73
BNDX,48.71,48.43,48.6,48.58,48.61,48.6,48.64
VXUS,55.99,52.93,57.72,57.59,57.65,57.73,57.62
VTI,207.35,198.92,219.91,219.11,219.43,219.88,219.26
VPU,146.98,149.12,146.74,145.61,146.4,146.67,146.24
XTN,73.3,72.18,80.0,79.17,80.18,79.2,79.92
