ticker,one_day_50,one_day_200,five_min_50,five_min_200,one_min_50,one_min_200,close_price
JNK,91.43,91.14,91.51,91.5,91.58,91.51,91.63
GDX,32.22,29.4,29.49,29.39,29.49,29.49,29.62
VCR,259.48,245.38,279.19,277.63,279.03,278.92,279.68
VDC,195.46,190.24,192.7,193.81,192.62,192.89,192.75
VIG,156.8,152.1,160.52,160.31,160.63,160.52,160.79
VDE,111.22,116.91,111.59,111.14,111.78,111.59,112.13
VFH,78.5,81.68,80.57,80.03,80.62,80.53,80.65
VWO,40.25,39.63,40.31,40.45,40.31,40.31,40.33
VHT,242.82,241.26,242.42,242.16,242.4,242.31,242.65
VIS,191.73,185.09,203.38,202.58,203.56,203.14,203.87
VGT,405.65,357.63,434.72,434.43,434.7,434.74,435.3
VAW,174.07,172.55,179.7,178.45,180.03,179.14,180.51
VNQ,81.78,83.74,82.81,82.8,82.94,82.85,83.1
VOO,387.22,366.82,402.0,401.9,402.07,401.93,402.51
VOX,100.76,91.82,105.44,105.57,105.3,105.62,105.39
BND,73.11,72.66,72.38,72.67,72.4,72.38,72.44
BNDX,48.73,48.43,48.77,48.88,48.77,48.77,48.81
VXUS,55.94,53.13,55.44,55.52,55.45,55.44,55.5
VTI,209.3,199.58,217.72,217.05,217.76,217.69,218.02
VPU,145.74,148.25,140.97,141.98,140.78,140.82,140.63
XTN,74.68,72.47,83.31,81.28,83.23,82.18,83.34
